Longitude,Latitude
180,68.993778
-179.59332963548,68.9032627066534
-179.191210124896,68.858813771317
-178.819119237248,68.7399756651592
-178.503792824938,68.6014120257244
-178.737250993264,68.701084334456
-178.737241989463,68.5872461184024
-178.460141128645,68.4460397508757
-178.032144000898,68.3669298571147
-177.626076605902,68.2858433054956
-177.289968765232,68.2311972074505
-177.207709825363,68.1527048041432
-177.01032517008,68.1452895140599
-176.76136651572,67.991326230983
-176.63237501188,67.9238786833948
-176.164014145198,67.8946112722753
-176.512350982594,67.9952847388409
-176.123740878247,67.8911354742997
-175.7351307739,67.7869862097584
-175.346520669553,67.6828369452171
-175.082435177353,67.537643668134
-174.855756588349,67.3801208653659
-174.805636746175,67.215620456824
-174.886836700027,67.0429821892756
-174.306595233667,67.0152173645083
-174.499355844154,67.0600024980389
-174.043851131288,67.0899121291413
-173.588880057452,67.113465302352
-173.13920314443,67.0739569144458
-172.689526231407,67.0344485265395
-172.239849318385,66.9949401386333
-171.790172405362,66.955431750727
-171.59143225164,66.8293272195722
-171.278580282747,66.7058289017314
-171.069600458962,66.548064308653
-170.712640882339,66.4386688890505
-170.355681305715,66.329273469448
-170.112258796669,66.1847630130647
-169.688224448213,66.1379425090011
-169.809952688638,66.0193525995824
-170.208369710586,65.9950917128913
-170.526774974836,65.8796095347087
-170.566654166162,65.7048196147426
-170.766789350872,65.6414639385071
-171.17498047344,65.7026343933158
-171.159749365593,65.6824825712501
-171.020431522478,65.5280463784135
-171.287524064732,65.5287136936684
-171.716308820598,65.5014400344309
-172.002868433646,65.4854397323836
-171.823457802817,65.5222992296453
-172.252266470838,65.5507627209588
-172.199367748829,65.4446669799846
-172.156898030344,65.3737745679689
-172.236000978058,65.2001653728321
-172.161367633386,65.0379085876395
-172.520185650902,64.9420430126491
-172.40337759175,64.5253849415562
-172.320608010518,64.3953501708754
-172.668558834571,64.4180034822371
-172.955579152606,64.494095894893
-172.813280079976,64.4245042141022
-172.945314613069,64.2757069832757
-173.320266919043,64.2793155130548
-173.571399971242,64.3477576796445
-173.910397073435,64.3988465208922
-174.095118751231,64.54941163996
-174.450236190999,64.6456497461353
-174.805353630768,64.7418878523107
-175.191350172052,64.7784168722728
-175.340946233939,64.8270729612456
-175.661304410337,64.9311263204982
-175.840415934612,65.052109271087
-176.010015474484,65.3762793920382
-175.910952220083,65.4143342082755
-176.293934779814,65.4956180700184
-176.695401834635,65.5624523089227
-177.09274689007,65.5725672638338
-177.441847481498,65.4679032719885
-177.875040869635,65.4675491112298
-178.308234257771,65.4671949504711
-178.435956160276,65.5900331946715
-178.533912638482,65.7373543142861
-178.761226910437,65.8773681709066
-178.915708005282,66.0348812658475
-178.615241437469,66.0546351174561
-178.480170223772,66.2188623257101
-178.509336516337,66.3336179503949
-178.79605785407,66.1956919400939
-179.095425974751,66.2400453667426
-179.105703760578,66.3216480491283
-179.27326463211,66.1540013581315
-179.646360005113,66.1529859795926
-179.75592369799,66.0109408829352
-179.719820227259,65.8378066498856
-179.47530418019,65.6978558019004
-179.275412202485,65.5584061012003
-179.413795332381,65.3901802871704
-179.581249572593,65.2244501852561
-179.809545991768,65.076158479272
179.889701331799,64.9488825674289
179.589551504252,64.8218617831804
179.202968789207,64.7614274045914
178.859985973235,64.661526399379
178.442915592579,64.6691336812522
178.023249223407,64.6802492347077
177.632083788833,64.7187958178001
177.506243268777,64.6758806150603
177.50064758799,64.4960323449722
177.622990263565,64.3373094074209
177.928309952484,64.2208039033533
178.199847594068,64.1891552705315
178.318677742485,64.3202332608803
178.286878758571,64.3813451390166
178.454121829785,64.2168326557186
178.621364900998,64.0523201724205
178.376814430286,64.0068267148207
178.378965768299,63.9871163714519
178.690298660115,63.9409576938164
178.708820571292,63.9092841320597
178.773369259827,63.7321293680827
178.710616120241,63.6423071449045
178.714709606427,63.5963561230207
178.599401929189,63.5549481525349
178.638121059479,63.4811819497105
178.882097318188,63.4377875105439
178.814844630691,63.5798462526467
178.951546287879,63.4106869453364
179.007508495358,63.3183641355268
178.905915503276,63.3228247201513
179.213011358187,63.207822516161
179.407016422093,63.0816636638487
179.328131095623,62.9227446589344
179.551511084643,62.7745701723343
179.519610726474,62.6142942200035
179.302922684079,62.4812409753923
179.143772126651,62.3566031349407
178.938238908927,62.3336532087511
178.590339310935,62.413575013006
178.242439712944,62.4934968172609
177.872409060053,62.5344269770041
177.48259250819,62.5404973100204
177.095920340329,62.5410776458698
176.761326824932,62.4507302660313
176.426733309536,62.3603828861927
176.092139794139,62.2700355063542
175.757546278743,62.1796881265156
175.422952763346,62.0893407466771
175.417683645538,62.1210291287465
175.215111065483,62.0182597397229
174.892479792272,61.9266820153806
174.731862616619,61.9566576366643
174.724373789333,61.8770193341698
174.395216016313,61.845827176518
174.205456737308,61.7981677186802
174.127157995162,61.7818813348953
173.868219675793,61.6590576359426
173.564268008059,61.7391657021435
173.513204121381,61.589865554509
173.292991756387,61.495738031199
173.058274082667,61.3869960422328
172.941569020216,61.3051752772131
172.718599185388,61.2245160783877
172.425052012861,61.196326215451
172.349671568822,61.1319689525215
172.468909270722,61.0698091736273
172.19688770681,61.0554100884998
172.148320194198,61.0147285462702
172.096312628882,60.8601433678854
171.892266696335,60.8279712586764
171.603340234165,60.7613634465128
171.394100029705,60.6134394627761
171.073307405688,60.5271069857907
170.782564709909,60.4874022712397
170.560166553534,60.4251055735562
170.512260180693,60.3519121391098
170.561295437068,60.2667892534999
170.424542988605,60.1053144581704
170.314440174941,59.9340338812379
170.044428402647,60.0373152632389
169.887161448584,60.1914948988204
169.896728193017,60.2452497550714
169.720668886849,60.3815102841135
169.476743913584,60.4924501604497
169.388185713953,60.5612643883312
169.156104663718,60.5605474274584
169.173244884809,60.547701146598
168.810761398018,60.5727693191396
168.448436469816,60.5925063934012
168.087595118012,60.5623622747553
167.793703953874,60.5039187956512
167.514753321904,60.4334648308302
167.344263868689,60.3704658498698
167.045035304014,60.4003779673363
166.98745025373,60.2960338214282
166.894425104918,60.219422850026
166.677654629937,60.0757754874534
166.460884154956,59.9321281248807
166.221923703293,59.8096149282407
166.148018080413,59.9126207922231
166.248723260015,60.0852930175623
166.292640046873,60.2601378329695
166.348647457671,60.4036073918033
166.131731047211,60.44519582452
165.890517921903,60.3243273861915
165.605548868895,60.2161431610901
165.477407027906,60.1839669218406
165.188667333233,60.0876583366718
165.187050482467,60.019125094967
165.022885501458,59.8848092107635
164.813225624086,59.8227439314091
164.711936549265,59.9952822803611
164.451032811783,60.084211766874
164.19107156193,59.9598154020712
164.096114459603,59.8883162354793
164.13154056639,59.9922585091175
163.771984675921,59.996880201846
163.800312761088,59.963973729447
163.559119102348,59.8620631940578
163.436236436603,59.7285669578909
163.312948824742,59.5720489034227
163.185648481443,59.4483383479834
163.320562618696,59.3011538916733
163.099556859315,59.2088413542092
163.222820893659,59.0708865839315
162.993749224114,59.1604693150452
162.998400804146,59.0108084509553
162.820638212246,58.8989813162976
162.768023012603,58.8477911839578
162.565204527558,58.7668708318386
162.42234037962,58.645052168666
162.217100428906,58.5823324116476
162.133700549139,58.4202712730819
162.010174279766,58.2536350898524
161.934350496423,58.0782783416332
161.984873710154,58.0353737391422
162.08987127529,57.8644554539725
162.375631174305,57.7910845626976
162.365031713541,57.6696390822788
162.531537831618,57.8132558458994
162.656311940416,57.9467124103276
162.965283883308,57.8832548912794
163.245120257328,57.7911961677874
163.232511483314,57.6334389016461
163.074788228381,57.4765288237116
162.794953179457,57.3783808201206
162.794077900308,57.3129713736281
162.829866215709,57.1341551339208
162.827637376914,56.9557030967781
162.780628349904,56.7776800517504
163.028764538318,56.7110162040608
163.243142477724,56.6788182256371
163.285842882325,56.500507375952
163.328543286926,56.3221965262669
163.305587919244,56.1560969401697
163.079691763628,56.0277421458553
162.800378526156,56.0693905548823
162.628309355587,56.2215794656255
162.509904579491,56.2314155288069
162.230854897961,56.1407521659097
162.047779382655,56.0096255775737
161.966136611021,55.8357343981444
161.884493839387,55.661843218715
161.802851067752,55.4879520392857
161.782144037444,55.3156533946325
161.889924769661,55.146712733745
161.997705501878,54.9777720728575
162.105486234095,54.80883141197
162.001645820274,54.6675318569424
161.779744932768,54.5416528877687
161.50363369482,54.4850746165474
161.2336136383,54.5191777613743
160.983780433309,54.5685872840403
160.719038718534,54.4893891266181
160.488318553736,54.3700016594036
160.257598388938,54.2506141921891
160.026878224141,54.1312267249745
159.947486768539,54.0560162664255
159.881870860823,53.880354049572
159.816254953107,53.7046918327186
159.889980227482,53.5893272304725
159.934492347417,53.612367603277
159.867863490516,53.4985222643776
159.893490955179,53.399047450449
159.958210738443,53.2358634757393
160.042755315521,53.1841141784221
159.926426210272,53.1336771541869
159.794069060322,53.2448897735587
159.582851204438,53.2151533992064
159.302805407768,53.1504157884037
159.037559163314,53.0717488343521
158.819151207509,52.9489976681411
158.650054131912,52.9579685049396
158.477492584623,52.8937096111895
158.558210781761,52.8345093992728
158.589285866399,52.7013514701951
158.390902676602,52.6505511021504
158.496139850737,52.5058961489677
158.500176409181,52.4138712814113
158.520271921095,52.2799791676623
158.351936289781,52.1465097298513
158.276279577354,51.972754950576
158.116563785392,51.8230045292476
157.952462296375,51.6745065109022
157.72513747975,51.5697160060981
157.529655715761,51.4485562575618
157.36666835663,51.3031825811005
157.165439095781,51.1751476266079
156.964209834933,51.0471126721153
156.762980574084,50.9190777176228
156.708657833158,50.9593082318917
156.730842204862,51.1343926875966
156.592400729248,51.2813832030202
156.525275068324,51.4418543170189
156.522062978565,51.6217076050558
156.518850888807,51.8015608930928
156.515638799049,51.9814141811298
156.468934839791,52.1584593081955
156.410837157563,52.3347687711353
156.449958491877,52.4950578824816
156.294928477308,52.5699409392041
156.200432623273,52.7404338257018
156.129617569398,52.9144645579409
156.084994142354,53.0924082464495
156.04037071531,53.2703519349581
155.995747288267,53.4482956234668
155.951123861223,53.6262393119754
155.906500434179,53.804183000484
155.861877007135,53.9821266889926
155.817253580091,54.1600703775012
155.772630153047,54.3380140660098
155.728006726004,54.5159577545185
155.68338329896,54.6939014430271
155.638759871916,54.8718451315357
155.594136444872,55.0497888200443
155.56862582859,55.2281792774926
155.589532965119,55.4076547668845
155.610440101649,55.5871302562763
155.631347238179,55.7666057456682
155.652254374708,55.94608123506
155.728185584888,56.1206712715516
155.809657365898,56.2947693743124
155.891129146909,56.4688674770732
155.972600927919,56.642965579834
156.170516641358,56.7817347692014
156.398089649592,56.9115059800787
156.527773281366,57.0694774816993
156.768576082259,57.1188366734035
156.903846943516,57.2830791688479
156.874592025599,57.6186859448962
156.830843461981,57.7777206887273
157.082869975433,57.8182717716598
157.383716477945,57.7843615608883
157.583616708291,57.9151259008214
157.814073961092,57.9941598893575
158.138623846861,58.007128727798
158.374403072772,58.009099783829
158.60215554726,58.1431096133665
158.829908021747,58.277119442904
159.057660496234,58.4111292724415
159.274573688326,58.5507442894548
159.48732121626,58.692513446171
159.700068744195,58.8342826028873
159.755598353234,59.0098586298276
159.96292753939,59.1490281249345
160.202806137915,59.2804592844231
160.411302696087,59.4212285262458
160.568946978429,59.5666570004805
160.899096265227,59.6286991670923
161.109205020246,59.7742950570745
161.319313775265,59.9198909470566
161.547638147455,60.05706784831
161.829129004702,60.16967198685
161.928373680982,60.3300712180505
162.108130431805,60.4591180874406
162.43468113141,60.5398353194529
162.74279872315,60.6310920394986
162.972643192124,60.7636843372319
163.33151233647,60.7986237675006
163.454570726125,60.788541490684
163.741942814324,60.8336999343495
163.788336190007,60.9324090330798
163.50128843764,61.0165589635023
163.730424176092,61.1584956286363
163.959559914544,61.3004322937702
163.826108975034,61.424503994357
163.827464401207,61.5819237638246
164.067066610292,61.6942807064547
164.092597126652,61.8737446951929
164.118127643012,62.0532086839312
164.143658159373,62.2326726726695
164.369842417349,62.3686429796138
164.692986712131,62.4262434447792
165.07460718534,62.3928467319239
165.203745031677,62.4548540581462
165.044672493883,62.512584828377
164.713570790099,62.5924625520376
164.44373046119,62.6611158104658
164.065762379258,62.6153308458116
163.687794297327,62.5695458811574
163.309826215395,62.5237609165032
163.242802643862,62.3873619771267
163.209374874544,62.269645193318
163.152414692001,62.1203040459188
163.099572477089,61.9518467159716
162.999122583634,61.7907418195276
163.291138146897,61.6757431222476
163.097217584332,61.5498660139758
162.910411670607,61.631253056842
162.668126910647,61.6759421465325
162.663841574628,61.6121666231126
162.342916947347,61.6286735583689
162.137512057991,61.4778201707987
161.907006286447,61.4124003394474
161.790908521714,61.3595216324409
161.539482826933,61.2267879230251
161.288057132151,61.0940542136092
161.03663143737,60.9613205041934
160.860773176297,60.8081692211642
160.679495136131,60.7622827924484
160.429952895693,60.7355774806816
160.244213804678,60.6023038190693
160.189046245342,60.7301601186722
160.315883896985,60.8759307842988
160.434233022635,61.0322301459147
160.08292059689,60.9747279079728
159.823977154511,60.9535201355942
160.002778311279,61.1091068582135
159.847332763773,61.239039240316
159.995174019304,61.2960828640521
160.043204507961,61.4126659017517
160.279726677682,61.5521238019789
160.331384372906,61.7303188518759
160.383042068129,61.908513901773
160.161877127697,61.8823795403543
159.936658327642,61.7451692510428
159.646240005704,61.6924633341292
159.577677630043,61.7742668439868
159.435659586998,61.8087718466612
159.168032749746,61.9046032119163
158.878568855201,61.8396615838815
158.520502686923,61.8206960883026
158.178363162735,61.7795162488361
157.845086960162,61.7546959336279
157.484677830048,61.7768538756936
157.232313942278,61.6504119854722
156.892729833731,61.5712668901866
156.676140094408,61.4540778714955
156.661749223487,61.2743458411966
156.47975083752,61.1372722564718
156.181681484902,61.029740348397
155.933671594164,60.90919112612
155.912639524179,60.7296192635937
155.642867769248,60.6551844335442
155.368643112996,60.5363483427541
155.094418456744,60.4175122519639
154.820193800492,60.2986761611738
154.665607694218,60.1378596450082
154.524505885154,59.9723115725601
154.547148341337,60.0560297290384
154.405215753008,60.0203778581513
154.409084044504,59.8405239660356
154.268544522057,59.7963759554644
154.354139637808,59.6217652341901
154.225070986627,59.6509352971202
154.140636077348,59.4762324138149
154.364797756922,59.498997884134
154.494633539788,59.4282030933012
154.517101397306,59.5251482734107
154.838773740908,59.4497212471682
155.089708675106,59.426791194314
155.209084119167,59.2723435002677
155.036616564857,59.1795729816625
154.801929321845,59.1250389875173
154.491669046495,59.2091089041119
154.346397470944,59.1013860155349
154.022896241778,59.0517154589794
153.739331849393,59.1573414241652
153.670585008121,59.1878898408386
153.371802881844,59.1833480014997
153.226734215394,59.0740898248932
152.964551877648,58.9954685978813
152.742739258043,58.9246852620636
152.449669995968,59.0071091501378
152.301501465192,58.9995695188684
152.067500406116,58.8878326908488
151.723870631649,58.8622628708715
151.379402552607,58.8373447627262
151.213635949026,58.9805229290832
151.180316643238,59.1203473804075
151.515292103243,59.1633974740372
151.865388266044,59.1519186504239
152.19406674003,59.1808167710543
152.175874746053,59.294161951369
151.824610483849,59.2986691153212
151.607986887866,59.416555783382
151.438812846936,59.5745369777788
151.122496409385,59.5815901681912
150.927338165139,59.4931889557334
150.744233214186,59.4759723268617
150.554421619359,59.508740262864
150.652060756636,59.5505358513333
150.340407309007,59.6160330580893
150.038450456079,59.7107483493596
149.685920808329,59.7387157646059
149.341881329719,59.7369977142496
149.057800544662,59.6531524911774
149.204183312962,59.4892858694267
148.938951171974,59.4513184064512
148.817179426265,59.3598148363375
148.959114896741,59.2825813829369
148.686381898785,59.2401032614342
148.417084376122,59.2967710144978
148.217174189773,59.4041285045025
147.878855839191,59.3747426814533
147.700896177366,59.2876736491675
147.443289942256,59.2553713964378
147.119630769658,59.3269537217338
146.795971597059,59.3985360470299
146.476261463584,59.4521055943058
146.321941565104,59.317054758737
146.23330516768,59.1783583151001
145.936481150015,59.1901146613022
145.907378496645,59.3353120724431
145.782381113491,59.3681092539815
145.486675384886,59.4100108179876
145.13758376574,59.3823524341366
144.787327165799,59.3689375358517
144.434977214179,59.3811167285422
144.082627262559,59.3932959212328
143.740872993132,59.3722339698275
143.409536242072,59.3248559134577
143.222099112372,59.3869110901064
142.968521965766,59.332285572976
142.653789492955,59.2514360587622
142.358379084267,59.1562679491858
142.093245192486,59.038663458493
141.900196711176,58.8895678407432
141.711707958235,58.7384802667225
141.513519619701,58.5922513132298
141.237519821471,58.4849989069017
140.961520023241,58.3777465005735
140.746019741471,58.2482192503719
140.645362732171,58.0764087537254
140.544705722872,57.9045982570789
140.352979052765,57.7612542888667
140.036697227764,57.7093771305728
139.865871719101,57.5596301254879
139.650579807622,57.4278981821269
139.383223489706,57.3206362816671
139.115867171791,57.2133743812074
138.913409525108,57.0831269945071
138.697638623392,56.9720059807486
138.584400542656,56.8251103765014
138.464280160637,56.8467338655663
138.324118260424,56.6906445943928
138.116733837576,56.5733469560166
138.200312291128,56.4246984105016
137.96575060555,56.3591191273625
137.794436840171,56.2064334177153
137.563331568452,56.0878829336855
137.403626656518,55.9522026558931
137.160701866445,55.8766793611545
136.941425598621,55.7456747016295
136.7068667623,55.6274111527822
136.419608115904,55.554459751885
136.259845166478,55.3991168100797
136.07370784643,55.2576892994299
135.818364359732,55.1527757841812
135.563020873033,55.0478622689324
